id_local,id_barrio,Nombre,DESC_CLASE,desc_ubicacion_terraza
280067128,114,SR,CALLE,Acera
270068967,25,JURUCHA,CALLE,Acera
270403150,23,HONTANARES,AVENIDA,Acera
270078567,23,BAR MARISQUERIA LUIS,CALLE,Calle peatonal
40002021,23,SAGAR,CALLE,Calle peatonal
40002808,25,WAGABOO,CALLE,Acera
270495851,25,THE JAMES JOYCE IRISH PUB,CALLE,Acera
40001459,23,HOTEL ABBA MADRID,AVENIDA,Acera
180000457,103,LA PLAZA,PLAZA,Plaza peatonal
270076142,23,EL NUEVO RINC?N DE JA?N,CALLE,Acera
270071068,22,VIENA CAPELLANES,CALLE,Acera
280062208,102,BAR LAS TORRES,CALLE,Acera
170000773,100, KEBAB ARMENIA,CALLE,Acera
270075832,21,CAFETERIA PARISIENA,CALLE,Acera
40001037,25,BAR-RESTAURANTE,CALLE,Acera
180000598,103,EL RINCON DEL TIO PEPE,CALLE,Acera
270266255,103,BAR SAN JULIAN,CALLE,Acera
200000837,115,BAR JOSUE,CALLE,Acera
280067055,113,RESTAURANTE BAR TORRES,COLONIA,Acera
270201818,101,BONGO CAFE,PASEO,Acera
270380946,25,EL ARBOL Y LA TOSTA,CALLE,Acera
210000683,120,BURGER KING,AVENIDA,Acera
280060978,104,RESTAURANTE 40 & CUATRO,CALLE,Acera
270202022,103,BAR-RESTAURANTE,CALLE,Calle peatonal
170001120,98,CERVECERIA MINERVA,CALLE,Acera
170000836,100,BAR DONDE SIEMPRE,PLAZA,Plaza peatonal
170001098,100,LA PARADA ESQUINA,CALLE,Acera
270228707,101,BURGUER CAROVI,PASEO,Acera
170000967,99,A GAIVOTI?A II,CALLE,Acera
170000259,99,PE?A DE FRANCIA,PASEO,Acera
270456160,101,LUCKY,PASEO,Acera
170002005,99,EL KUBO,CALLE,Plaza peatonal
270181857,101,BAR ASTURIAS,PLAZA,Plaza peatonal
270379680,100,LA ABUELA,AVENIDA,Acera
170000257,99,BAR PEMA,CALLE,Acera
270286727,99,CASA MONICA,CALLE,Acera
180000366,105,EL JARDIN DEL BACO,CALLE,Acera
270324826,105,CERVECERIA LA TOMASA,CALLE,Acera
270032503,105,BAR LA HACIENDA,CALLE,Acera
270184841,105,CERVECERIA LA TORRE,CALLE,Acera
270185092,105,EL JARDIN DE BACO II,CALLE,Acera
170000673,101,ESTUDIO VILLAVERDE ALTO, SL,PASEO,Calle peatonal
270456985,101,LAS BEGONIAS,PASEO,Acera
170000832,99,BAR CASA CONEL,CALLE,Acera
170001203,98,PASTELERIA PANADERIA CAFETERIA CHICO,CALLE,Acera
170000724,101,BAR LAS NI?AS,PASEO,Acera
270181482,101,BAR MEZQUITA,CALLE,Acera
170000308,101,BAR RENATO,CALLE,Bulevar
270020492,102,PEREZ CAFETERIA,CALLE,Acera
270539656,98,100 MONTADITOS,CALLE,Acera
270183511,99,RESTAURANTE GALLARDO,CALLE,Acera
270023348,99,LA ATALAYA,CALLE,Acera
170000123,99,ALQUEZAR LA BODEGA DE COTE,CALLE,Acera
270314735,98,BAR SALINAS,AVENIDA,Otros
170000009,99,JOSE,CALLE,Acera
270488062,101,CAFE SAXO,PLAZA,Plaza peatonal
170000013,102,CERVECERIA SAN CRISTOBAL,CALLE,Acera
270182385,100,EL PORTON,CALLE,Otros
270418033,100,DONER KEBAB PLAZA,PLAZA,Plaza peatonal
270033353,102,BAR PIRATA,CALLE,Plaza peatonal
20000100,9,CERVECERIA LA LASTRA,PASEO,Acera
20000172,13,BAR SORIA,CALLE,Acera
20001101,11,CERVECERIA CANTALEJO RESTAURANTE,PASEO,Acera
270267597,9,BAR ORENSE,CALLE,Acera
20001080,9,BAR EL CONQUISTADOR,CALLE,Acera
270055919,9,CAFETERIA LOA,CALLE,Acera
200001508,115,LA SEDE D'ANDRUBEN,CALLE,Acera
270458555,72,EL RINCON DE SIXTO,,CALLE,Acera
270524837,72,SIN R?TULO,CALLE,Acera
270228855,72,BAR ALFIL,CALLE,Acera
270157776,75,BAR PISCIS,CALLE,Acera
270438751,72,LA ALEGRIA,CALLE,Acera
270490968,71,BAR CLEMENTE,CALLE,Acera
270477281,76,CAFE BAR MARTIN,CALLE,Acera
270309378,7,CAFETERIA HINOJAR,PASEO,Acera
285031450,101,DON GERMAN,CALLE,Acera
20000056,11,BAR RESTAURANTE MARTIN,PASEO,Acera
170000809,98,RESTAURANTE PARQUE ROSALES CERVECERIA,CALLE,Acera
285021312,72,EL BAR,AVENIDA,Acera
270519524,52,8 1/2 LIBROS DE CINE,CALLE,Acera
270540061,71,R?TULO NO INFORMADO,CALLE,Acera
270417284,71,CAFETERIA 204,CALLE,Acera
270534735,76,PARRILLA BONALMA,AVENIDA,Acera
270217569,72,BAR,CALLE,Plaza peatonal
270156329,72,BAR LUZON,CALLE,Acera
270363433,74,CAFETERIA HALLEY,CALLE,Acera
270432683,73,BAR SANCHEZ,PLAZA,Plaza peatonal
270280806,99,VENTA CARMONA,CALLE,Calle peatonal
270183220,99,CAFETERIA LUMAR,CALLE,Acera
270471784,99,BAR RESTAURANTE MARTIN,CALLE,Superficie en parcela privada
270191062,99,EL PILAR,CALLE,Otros
270181096,101,EL PORTON,CALLE,Acera
170000796,99,BAR EL RINCON DEL QUIJOTE,CALLE,Acera
270250040,100,DI MADRID,CALLE,Otros
270033525,100,EL ZAGUAN,CALLE,Otros
170000283,100,LA BODEGUILLA IBERICA,CALLE,Acera
170000006,102,BAR VIETNAM,CALLE,Acera
270183106,99,BAR JOSE LUIS,CALLE,Acera
270057250,10,CAFETERIA FERROCARRIL,CALLE,Acera
280017278,9,RESTARAURANTE O'PORTI?O,PLAZA,Acera
280018318,7,LA MARGHERITA,PASEO,Bulevar
270299459,11,RESTAURANTE LA POTA DOURO,CALLE,Acera
10003543,4,CA?AS Y TAPAS,PLAZA,Acera
270373645,118,BAR LOS GALLEGOS,AVENIDA,Acera
170000258,100,TU BOCATA II,PLAZA,Plaza peatonal
170000611,100,CAFETERIA BAR LINEA 123,AVENIDA,Acera
270181501,101,BAR GALICIA,CALLE,Acera
270400434,99,BAR ESTRELLA 2008,CALLE,Acera
170000543,101,BAR UNO,CALLE,Acera
170002104,98,KEBAB ARMENIA,CALLE,Acera
170001122,98,CAFETERIA,CALLE,Acera
270422013,99,CAFETERIA OBREGON,CALLE,Calle peatonal
170000830,101,EL CUERPO DEL DESEO,PASEO,Acera
270447268,102,EL RINCON DE LOLA,CALLE,Plaza peatonal
170000004,99,BAR PINILLA,CALLE,Otros
270183583,99,BAR MINI PILAR,AVENIDA,Acera
270182085,102,BAR EL CIGARRAL TOLEDANO,CALLE,Acera
270181885,101,BAR LAS MURALLAS,PASEO,Acera
170000016,102,BAR DULCI,CALLE,Acera
270077611,23,L'ANDECHA,AVENIDA,Acera
270322801,76,BAR PELAEZ,CAMINO,Acera
120000552,73,O TOUXEIRO,CALLE,Plaza peatonal
280049553,76,BAR LUQUE,CALLE,Acera
280051178,76,ASAY,CALLE,Calle peatonal
120000138,77,XALLAS,AVENIDA,Acera
280064620,87,CERVECERIA 100 MONTADITOS,CALLE,Acera
170000961,98,SIDRERIA DEL NORTE,CALLE,Acera
270183625,99,BAR MONICO,CALLE,Acera
270308889,99,BAR LOS CAMPEONES - JAEN,CALLE,Acera
270332045,101,LA POSADA DE GREEN VILLAGE,CALLE,Acera
290000758,101,MADRETIERRA,PASEO,Calle peatonal
270181310,101,EL CASTIZO,CALLE,Acera
270448230,102,CAFETERIA BAR JUANJO Y JOSE,CALLE,Acera
270547589,98,BAR RESTAURANTE VITA KR,CALLE,Acera
270401458,102,BAR CONGO,CALLE,Acera
170000406,100,DONDE LA LOLA,AVENIDA,Acera
270540475,72,BAR OLIVA,CALLE,Acera
280050244,72,TABERNA LA ANDALUZA,CALLE,Acera
270416146,77,A NOXA GALICIA,AVENIDA,Acera
280049608,73,CAFETERIA JUANITO,CALLE,Acera
285021310,72,CAMBOY,CALLE,Acera
280049571,73,BAR ASADOR MERINO,CALLE,Calle peatonal
270156733,72,EL CHIRINGUITO,CALLE,Calle peatonal
280049704,76,BAR JUSTO,AVENIDA,Acera
270526564,71,BAR CAFETERIA,CALLE,Plaza peatonal
280049131,72,BAR EL MANCHEGO (LOCAL 2 Y 3),CALLE,Acera
200001961,115,TGB-THE GOOD BURGER,CALLE,Acera
40003086,25,LA NI?A,CALLE,Acera
40002254,23,JARRITUS,CALLE,Acera
270535739,76,BAR CAFETERIA KRISTIN,CALLE,Plaza peatonal
270154709,76,BAR LA SELVA,CALLE,Acera
270261041,77,SALEM II,AVENIDA,Plaza peatonal
270322431,75,BAR LEONES,CALLE,Acera
270157551,75,CAFETERIA CUESTA CERVECERIA,AVENIDA,Acera
270225619,72,CAFETERIA LUMAR,CALLE,Acera
270438394,74,CASA ANTONIO,CALLE,Acera
270549067,71,MUSEO DEL JAMON,AVENIDA,Acera
270156565,72,DONNER KEBAP USERA,CALLE,Acera
270473500,72,R?TULO NO INFORMADO,CALLE,Plaza peatonal
120000334,74,LOCAL PENDIENTE DE VERIFICACION,AVENIDA,Acera
270401857,73,ALH?BEGA BAR, S.L.,PLAZA,Plaza peatonal
270537073,73,CAFETRIA ACUARIO,CALLE,Acera
270044772,72,CERVECERIA JUSTI,CALLE,Plaza peatonal
285035919,81,BAR RESTAURANTE,CALLE,Acera
280017096,9,TAPAS,PASEO,Acera
270475350,13,BAR CERVECERIA DIAZ,CALLE,Acera
285005098,13,CERVECERIA 100 MONTADITOS,CALLE,Acera
280018624,7,PRYCE CAFE,PASEO,Acera
20000557,13,RESTAURANTE ABADIA,CALLE,Acera
20000566,10,EL KUBO LOCO,PASEO,Acera
285004782,9,COSTELLO R?O,CALLE,Acera
270279687,11,CASA VALENTIN,PASEO,Acera
270508174,99,KEBAB TRES FUEGOS,CALLE,Otros
170002043,102,BAR CAFE LOS PINAZOS,PLAZA,Calle peatonal
270408288,27,SAL Y SAL DE TAPAS,CALLE,Acera
270355725,31,CAFETERIA ENXEBRE,CALLE,Acera
270451968,22,BAR CALVIN,CALLE,Plaza peatonal
270497098,23,LA CERVEZERIA,AVENIDA,Acera
280018486,7,RESTAURANTE PIMENTON,CALLE,Plaza peatonal
270379037,11,MONTEPINOS,PASEO,Acera
20001082,11,RODILLA,PASEO,Acera
20000721,11,ARROCERIA IMPERIAL,PASEO,Acera
20000359,13,LOS CHIQUITOS BAR DE TAPAS,CALLE,Acera
270444334,7,AUTOESCUELA LARA,CALLE,Acera
270056880,10,CERVECERIA GUIMAR CAFETERIA,CALLE,Acera
270287197,10,TABERNA DEL FERROCARRIL,CALLE,Acera
285002998,3,LA SACRISTIA RESTAURANTE,PLAZA,Plaza con bandas permanentes de circulaci? rodada
140000420,86,AZUL Y ORO,AVENIDA,Acera
270490176,99,BAR MARTINEZ,CALLE,Acera
170001705,100,ENTREAMIGOS,CALLE,Acera
270433849,99,BAR LA REJA,AVENIDA,Acera
270308840,98,CAFE HILO'S,CALLE,Plaza peatonal
270531125,60,IBERICA BY EL ESQUINAZO,CALLE,Acera
270379563,60,MONTON SANZ CAFETERIA RESTAURANTE,CALLE,Acera
270243228,63,AUPA BAR,CALLE,Acera
270074139,22,EL BARRIL,CALLE,Acera
270130826,47,BAHIA,CALLE,Acera
280048679,50,RESTAURANTE LA DEHESA IV,CALLE,Acera
285016512,48,TABERNA COCINARTE,AVENIDA,Acera
285032275,105,LA MURALLA,AVENIDA,Bulevar
270532715,95,LOS QUESOS DE L`AMELIE,CALLE,Acera
280045385,53,VINUBAR,PASEO,Acera
20000108,13,BAR JUANITO,CALLE,Acera
20000419,13,CAFETERIA LA OCHAVA,CALLE,Acera
270287459,13,BISTRO PREMIUM RESTAURANTE,CALLE,Acera
270058751,13,BAR EL ANDEN,CALLE,Acera
200001212,108,UVE Y MARI,CALLE,Acera
200001162,111,EL RACO,CALLE,Acera
200000884,109,CERVEZAS UCEDA,CALLE,Acera
200000995,109,EL DESVAN CAFE RESTAURANTE,CALLE,Acera
270523220,109,BAR LAS CINCO LAGUNAS,CALLE,Acera
200000125,114,EL RACIMO DE ORO,AVENIDA,Otros
200000832,108,BAR PASCUALA,CALLE,Calle peatonal
200001963,110,PASTELERIA CHARLOT CAFETERIA,CALLE,Acera
270318039,110,CERVECERIA DAN-CAR,CALLE,Acera
270229078,110,BAR EL RINCON DE MIGUELIN,CALLE,Acera
270307951,110,BAR EL CAFELITO CAFETERIA,AVENIDA,Acera
270263970,114,CAFETERIA VERTIGO,AVENIDA,Acera
200001347,115,BAR LA CAMPANA,CALLE,Acera
270545395,115,BAR UCLES,CALLE,Acera
200000868,115,RESTAURANTE CHINO DINASTY,PLAZA,Acera
270276973,108,BAR MAQUEDA S,CALLE,Acera
200000855,110,BLACK AND GREY,CALLE,Acera
270202254,110,BAR LOS MELLIZOS,CALLE,Acera
270188583,110,EL CHAVAL FREIDURIA,CALLE,Superficie en parcela privada
270537907,113,BAR LOS AMIGOS,AVENIDA,Acera
280067426,112,CEFETERIA CERVECERIA JUVINA,CALLE,Acera
280067190,109,RESTAURANTE VICTORIA,AVENIDA,Acera
280066092,109,SR,AVENIDA,Acera
200000909,114,A TABERNA DO MEIGO,CALLE,Acera
200001615,115,GAMBRINUS,AVENIDA,Acera
270380796,115,BAR RESTAURANTE,AVENIDA,Acera
